OBJECTID Periode1 Periode2 Ala Ana Bab Bam Tes Blb Abb Esl Cyc Cog Sqc Gaa Pup Rur Gog Gyc Chn Bba Lol Tht Amm Pef Leg Sce Sal Sas Alb Tit Pat Sat Php Lel
449953 P1 P2 extirpated persisted unoccupied unoccupied unoccupied unoccupied extirpated colonized unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted 
449953 P3 P4 persisted persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied unoccupied colonized unoccupied unoccupied persisted extirpated persisted extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted 
449953 P2 P3 colonized persisted unoccupied unoccupied unoccupied unoccupied unoccupied extirpated unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied unoccupied extirpated unoccupied unoccupied colonized persisted colonized colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted 
449955 P4 P5 unoccupied persisted unoccupied unoccupied unoccupied colonized persisted colonized unoccupied colonized persisted unoccupied persisted persisted persisted unoccupied unoccupied persisted unoccupied unoccupied persisted colonized persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted colonized 
449955 P5 P6 unoccupied persisted unoccupied unoccupied unoccupied persisted extirpated persisted unoccupied extirpated persisted unoccupied extirpated persisted persisted unoccupied unoccupied persisted unoccupied unoccupied persisted extirpated extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted extirpated 
449955 P3 P4 extirpated persisted unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied colonized persisted persisted unoccupied unoccupied persisted unoccupied unoccupied persisted extirpated persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449955 P7 P8 colonized persisted unoccupied unoccupied unoccupied persisted persisted colonized unoccupied unoccupied persisted unoccupied colonized persisted persisted unoccupied unoccupied persisted unoccupied unoccupied persisted colonized extirpated colonized unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted colonized 
449955 P6 P7 unoccupied persisted unoccupied unoccupied unoccupied persisted colonized extirpated unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449955 P1 P2 unoccupied persisted unoccupied unoccupied unoccupied unoccupied extirpated persisted unoccupied unoccupied persisted unoccupied unoccupied extirpated persisted unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449955 P2 P3 colonized persisted unoccupied unoccupied unoccupied unoccupied colonized extirpated unoccupied unoccupied persisted unoccupied unoccupied colonized persisted unoccupied unoccupied persisted unoccupied unoccupied persisted colonized persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449973 P3 P4 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied extirpated extirpated persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
